episode_number,exact_public_title,title_rss,title_youtube,title_conflict,publish_date,duration,duration_seconds,guest_name,youtube_url,audio_enclosure_url,rss_episode_url,youtube_match_method,youtube_captions_exist,listen_notes_transcript,has_timestamps,has_quotes,has_hashtags,has_guest_links,description_chars
0103,0103 with Landon 'Dirtyzen' Smith - Breaking Into The Abyss,0103 with Landon 'Dirtyzen' Smith - Breaking Into The Abyss,0103 with Landon 'Dirtyzen' Smith - Breaking Into The Abyss,,2023-12-19,1:48:49,6529,Landon 'Dirtyzen' Smith,https://www.youtube.com/watch?v=y4-VWyUL_T0,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/1e76c3c6/dc05e00c.mp3,https://share.transistor.fm/s/1e76c3c6,episode_number,unknown,unknown,no,yes,no,yes,4471
0102,0102 with Megan Hawkins From 'BetterU' Psychedelic Therapy - Ketamine To Heal Anxiety And Depression,0102 with Megan Hawkins From 'BetterU' Psychedelic Therapy - At Home Ketamine Therapy To Heal Anxiety And Depression,0102 with Megan Hawkins From 'BetterU' Psychedelic Therapy - Ketamine To Heal Anxiety And Depression,YT≠RSS,2023-09-11,2:54:59,10499,Megan Hawkins From 'BetterU' Psychedelic Therapy,https://www.youtube.com/watch?v=zlQCXoUdWNk,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/a144d058/82ace246.mp3,https://share.transistor.fm/s/a144d058,episode_number,unknown,unknown,yes,yes,no,yes,15255
0101,The JYLP 0101 with Keenan 'Hurricane' Harvey - Taking Care Of What You Can Reach,0101 with Keenan 'Hurricane' Harvey - Taking Care Of What You Can Reach,The JYLP 0101 with Keenan 'Hurricane' Harvey - Taking Care Of What You Can Reach,YT≠RSS,2023-08-09,2:40:29,9629,Keenan 'Hurricane' Harvey,https://www.youtube.com/watch?v=ILAlPLrVsig,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/372507ac/1e9ed8d1.mp3,https://share.transistor.fm/s/372507ac,episode_number,unknown,unknown,no,no,no,no,3337
0100,0100 JacobFromTheInternet - Mystical Experience And Spiritual Practice To Radically Change The Mind,0100 with Jacob From The Internet - Mystical Experience And Spiritual Practice To Radically Change The Mind,0100 JacobFromTheInternet - Mystical Experience And Spiritual Practice To Radically Change The Mind,YT≠RSS,2023-08-07,2:04:28,7468,Jacob From The Internet,https://www.youtube.com/watch?v=jaJ_enZhLDI,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/d6e8d312/938db21e.mp3,https://share.transistor.fm/s/d6e8d312,episode_number,unknown,unknown,yes,yes,no,yes,6437
0099,The Junkyard Love Podcast Episode 099 with Brent Spirit - A Kundalini Awakening Story,099 with Brent Spirit - A Kundalini Awakening Story,The Junkyard Love Podcast Episode 099 with Brent Spirit - A Kundalini Awakening Story,YT≠RSS,2023-07-08,1:59:33,7173,Brent Spirit,https://www.youtube.com/watch?v=-Bygy52__es,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/b6b085f3/88cc5e59.mp3,https://share.transistor.fm/s/b6b085f3,episode_number,unknown,unknown,no,yes,no,yes,5219
0098,"098 with Swami Nityananda - Be Still, As The Universe Plays Through You","098 with Swami Nityananda - Be Still, As The Universe Plays Through You","098 with Swami Nityananda - Be Still, As The Universe Plays Through You",,2023-05-08,59:30,3570,Swami Nityananda,https://www.youtube.com/watch?v=cQ1mtQ_UfB0,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/a4f7a197/01d3c985.mp3,https://share.transistor.fm/s/a4f7a197,episode_number,unknown,unknown,no,yes,no,yes,6091
0097,The JYLP Episode 097 with Kevin Foreman - Fighting For Sobriety,097 with Kevin Foreman - Fighting For Sobriety,The JYLP Episode 097 with Kevin Foreman - Fighting For Sobriety,YT≠RSS,2023-03-08,1:24:21,5061,Kevin Foreman,https://www.youtube.com/watch?v=n1s0m3ZyCr4,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/cf7cd2e4/4b8ac833.mp3,https://share.transistor.fm/s/cf7cd2e4,episode_number,unknown,unknown,no,yes,no,yes,2225
0096,"The JYLP ep 096 with Jordenelle Tsugawa - The Forever Umbilical Cord, And Grand-Mother Ayahuasca","096 with Jordenelle Tsugawa - The Forever Umbilical Cord, And Grand-Mother Ayahuasca","The JYLP ep 096 with Jordenelle Tsugawa - The Forever Umbilical Cord, And Grand-Mother Ayahuasca",YT≠RSS,2023-02-09,1:21:35,4895,Jordenelle Tsugawa,https://www.youtube.com/watch?v=52ZW3yf6QTY,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/329edb99/54c02a93.mp3,https://share.transistor.fm/s/329edb99,episode_number,unknown,unknown,no,no,no,no,1879
0095,The JYLP ep 095 with Rapper & CEO Bobby Barrz - The Only Real Game In Town Is Betting On Yourself,095 with Rapper & CEO Bobby Barrz - The Only Real Game In Town Is Betting On Yourself,The JYLP ep 095 with Rapper & CEO Bobby Barrz - The Only Real Game In Town Is Betting On Yourself,YT≠RSS,2023-02-04,1:48:41,6521,Rapper & CEO Bobby Barrz,https://www.youtube.com/watch?v=gPfqqS6CC4k,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/888f1109/dd8cc41d.mp3,https://share.transistor.fm/s/888f1109,episode_number,unknown,unknown,no,no,no,yes,3415
0094,"The JYLP Episode 094 with 1/3 Billionaire John Lefebvre - Acid, Intellect, Money, and Morality","094 with 1/3 Billionaire John Lefebvre - Acid, Intellect, Money, and Morality","The JYLP Episode 094 with 1/3 Billionaire John Lefebvre - Acid, Intellect, Money, and Morality",YT≠RSS,2022-12-29,1:15:40,4540,1/3 Billionaire John Lefebvre,https://www.youtube.com/watch?v=ivq1xUi67DM,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/2364d9f3/1f3b3afd.mp3,https://share.transistor.fm/s/2364d9f3,episode_number,unknown,unknown,no,yes,no,yes,5565
